,Opening,Notation
0,Modern,1.d4 d6 2.c4 g6 3. Nc3 Bg7 4.e4
1,Semi-Benoni,1.d4 c5 2.d5 e5
2,"Trompowsky, 2... e4",1.d4 Nf6 2. Bg5 Ne4
3,"Trompowsky, 2...e6",1.d4 Nf6 2. Bg5 e6
4,"Trompowsky, Other","1.d4 Nf6 2. Bg5 d5, c5, g6"
5,"Torre, 2...e6",1.d4 Nf6 2. Nf3 e6 3. Bg5
6,"Torre, 2...g6",1.d4 Nf6 2. Nf3 g6 3. Bg5
7,"London System, 2...e6",1.d4 Nf6 2. Nf3 e6 3. Bf4
8,"London System, 2...g6",1.d4 Nf6 2. Nf3 g6 3. Bf4
9,"Catalan, 3... b4",1.d4 Nf6 2.c4 e6 3.g3 Bb4+
10,"Catalan, 3...c5",1.d4 Nf6 2.c4 e6 3.g3 c5
11,"Catalan, Open",1.d4 Nf6 2.c4 e6 3.g3 d5 4. Bg2 dxc4
12,"Catalan, Closed",1.d4 Nf6 2.c4 e6 3.g3 d5 4. Bg2 Be7 5. Nf3
13,Black Knights Tango,1.d4 Nf6 2.c4 Nc6
14,Budapest Gambit,1.d4 Nf6 2.c4 e5
15,Old Indian,1.d4 Nf6 2.c4 d6
16,Czech Benoni,1.d4 Nf6 2.c4 c5 3.d5 e5 4. Nc3 d6
17,Benko (Volga) Gambit,1.d4 Nf6 2.c4 c5 3.d5 b5
18,"Modern Benoni, 6. f3",1.d4 Nf6 2.c4 c5 3.d5 e6 4. Nc3 exd5 5.cxd5 d6 6. Nf3
19,"Modern Benoni, 6.e4",1.d4 Nf6 2.c4 c5 3.d5 e6 4. Nc3 exd5 5.cxd5 d6 6.e4
20,"Dutch, Leningrad",1.d4 f5 2.c4 Nf6 3.g3 g6 4. Bg2 Bg7 5. Nf3 O-O 6.O-O
21,"Dutch, Classical",1.d4 f5 2.c4 Nf6 3.g3 e6 4. Bg2
22,"Dutch, 3. c3",1.d4 f5 2.c4 Nf6 3. Nc3
23,"Dutch, Other","1.d4 f5 2. Nc3, Bg5, e4"
24,"Grunfeld, Fianchetto",1.d4 Nf6 2.c4 g6 3.g3 d5 4. Bg2 Bg7 5. Nf3 O-O 6.O-O
25,"Grunfeld, 4. f3",1.d4 Nf6 2.c4 g6 3. Nc3 d5 4. Nf3
26,"Grunfeld, Other","1.d4 Nf6 2.c4 g6 3. Nc3 d5 4. Bf4, Bg5, e3, Qb3"
27,"Grunfeld, Exchange",1.d4 Nf6 2.c4 g6 3. Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7
28,"Bogo-Indian, 4. d2",1.d4 Nf6 2.c4 e6 3. Nf3 Bb4+ 4. Bd2
29,"Bogo-Indian, 4. bd2",1.d4 Nf6 2.c4 e6 3. Nf3 Bb4+ 4. Nbd2
30,"Queen's Indian, 4.a3",1.d4 Nf6 2.c4 e6 3. Nf3 b6 4.a3
31,"Queen's Indian, 4. c3",1.d4 Nf6 2.c4 e6 3. Nf3 b6 4. Nc3
32,"Queen's Indian, 4.e3",1.d4 Nf6 2.c4 e6 3. Nf3 b6 4.e3
33,"Queen's Indian, Other","1.d4 Nf6 2.c4 e6 3. Nf3 b6 4. Bg5, Bf4"
34,"Queen's Indian, 4.g3  a6",1.d4 Nf6 2.c4 e6 3. Nf3 b6 4.g3 Ba6
35,"Queen's Indian, 4.g3 Other","1.d4 Nf6 2.c4 e6 3. Nf3 b6 4.g3 Bb7, Bb4+"
36,"Nimzo-Indian, 4. f3",1.d4 Nf6 2.c4 e6 3. Nc3 Bb4 4. Nf3
37,"Nimzo-Indian, Saemisch",1.d4 Nf6 2.c4 e6 3. Nc3 Bb4 4.a3
38,"Nimzo-Indian, Leningrad",1.d4 Nf6 2.c4 e6 3. Nc3 Bb4 4. Bg5
39,"Nimzo-Indian, 4.f3",1.d4 Nf6 2.c4 e6 3. Nc3 Bb4 4.f3
40,"Nimzo-Indian, Other 4th moves","1.d4 Nf6 2.c4 e6 3. Nc3 Bb4 4.g3, Qb3, Bd2"
41,"Nimzo-Indian, Classical, 4...O-O",1.d4 Nf6 2.c4 e6 3. Nc3 Bb4 4. Qc2 O-O
42,"Nimzo-Indian, Classical, 4...c5",1.d4 Nf6 2.c4 e6 3. Nc3 Bb4 4. Qc2 c5
43,"Nimzo-Indian, Classical, Other","1.d4 Nf6 2.c4 e6 3. Nc3 Bb4 4. Qc2 d5, Nc6, b6, d6"
44,"Nimzo-Indian, Rubinstein, 4...c5",1.d4 Nf6 2.c4 e6 3. Nc3 Bb4 4.e3 c5
45,"Nimzo-Indian, Rubinstein, Other","1.d4 Nf6 2.c4 e6 3. Nc3 Bb4 4.e3 b6, d5, Nc6, Bxc3+"
46,"King's Indian, Averbakh",1.d4 Nf6 2.c4 g6 3. Nc3 Bg7 4.e4 d6 5. Be2 O-O 6. Bg5
47,"King's Indian, Fianchetto",1.c4 Nf6 2.d4 g6 3.g3 Bg7 4. Bg2 d6 5. Nf3 O-O
